# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"9","A9","2","2","39","525237.75","1593522.8","308763.7"
"9","A9","2","2","40","525793.1","1716289.2","308652.2"
"10","A10","2","2","1","241305.64","467907.5","359654.4"
"10","A10","2","2","2","242311.45","470200.3","361028.03"
"10","A10","2","2","3","243996.95","471849.16","362416.66"
"10","A10","2","2","4","245239.16","474181.66","363849.75"
"10","A10","2","2","5","246442.36","476229.72","364666.84"
"10","A10","2","2","6","247633.64","478185.2","365026.72"
"10","A10","2","2","7","248899.14","478885.8","365369.97"
"10","A10","2","2","8","249538.72","479322.6","366023.34"
"10","A10","2","2","9","250623.69","480032.06","366427.3"
"10","A10","2","2","10","251311.52","480298.25","367013.94"
"10","A10","2","2","11","252671.6","482027.16","367598.6"
"10","A10","2","2","12","253178.14","484313.4","367999.38"
"10","A10","2","2","13","254030.8","485884.4","368537.72"
"10","A10","2","2","14","254996.6","486335.4","369267.1"
"10","A10","2","2","15","255617.1","486762.72","369761.94"
"10","A10","2","2","16","256460.28","488049.6","369715.25"
"10","A10","2","2","17","257455.5","489363.88","370158.22"
"10","A10","2","2","18","258132.05","490164.2","370307.38"
"10","A10","2","2","19","258571.81","490585.3","370545.4"
"10","A10","2","2","20","259413.16","491453.47","370724.44"
"10","A10","2","2","21","259897.25","492468.22","370936.3"
"10","A10","2","2","22","261372.67","492527.16","371247.38"
"10","A10","2","2","23","261702.36","493403.38","371947.94"
