gene_id,logFC,pvalue,fdr,significant,comparison
ALG5,0.0327271204698116,0.6723359324346476,0.9356893425450101,FALSE,WT_vs_severe
EXOSC8,0.06709077167096884,0.27666917056207857,0.7912869199483036,FALSE,WT_vs_severe
ETF1,0.016995111033970313,0.7619836067714647,0.9531094636039896,FALSE,WT_vs_severe
TGFBI,0.049843267970581216,0.557658596538199,0.9008724534632914,FALSE,WT_vs_severe
FAM53C,-0.016669266371028845,0.7250376670090461,0.9433930431684456,FALSE,WT_vs_severe
SIL1,0.0719223123287584,0.11067536337052455,0.6403322063609594,FALSE,WT_vs_severe
PAIP2,0.1240910235569429,0.0077439483523266085,0.3481574373889996,FALSE,WT_vs_severe
KDM3B,-0.03597508281688924,0.4329983746759061,0.8620890145653215,FALSE,WT_vs_severe
EGR1,0.09366376224808638,0.09393196329253008,0.6062236098302035,FALSE,WT_vs_severe
SERP1,-0.035214259361947636,0.5230525165135801,0.8865058170331498,FALSE,WT_vs_severe
PLS1,0.077348888691506107,0.24674160637758968,0.7708419202376162,FALSE,WT_vs_severe
NR2C1,-0.06226588818361676,0.589361611850423,0.9123082002476277,FALSE,WT_vs_severe
UTP20,-0.031449377230831355,0.6257084859582707,0.9223043079024159,FALSE,WT_vs_severe
TMPO,-0.016719894023439447,0.7019473881827014,0.9396226567357203,FALSE,WT_vs_severe
ARL1,0.15400078509289805,0.020269701837348268,0.4341584919259614,FALSE,WT_vs_severe
MTERF2,0.11195686866261867,0.492027374801395,0.8768399857608905,FALSE,WT_vs_severe
SOCS2,0.007299624926036508,0.9455852569134344,0.9908757156401825,FALSE,WT_vs_severe
NFYB,0.08166119647392642,0.13522762629722473,0.6760652144639678,FALSE,WT_vs_severe
WASHC3,-0.20730956231604963,0.012788221088551273,0.40493493684326265,FALSE,WT_vs_severe
APAF1,-0.056405736333194754,0.4247081383665351,0.85868731455981,FALSE,WT_vs_severe
DUSP4,0.08542656527015959,0.07746266778819283,0.5807184661526256,FALSE,WT_vs_severe
CLU,-0.031217184323585147,0.7049941380804138,0.9397913503350612,FALSE,WT_vs_severe
TNFRSF10B,0.02500840036554434,0.47850198829262724,0.8739226075025587,FALSE,WT_vs_severe
SORBS3,0.019981250621799375,0.7295958850030417,0.9448209176636397,FALSE,WT_vs_severe
PPP3CC,0.0354462993358594,0.5786225017743543,0.9086721686013555,FALSE,WT_vs_severe
PDLIM2,0.0819991283210217,0.08660824107164763,0.5982446017103302,FALSE,WT_vs_severe
EPHX2,0.1449417838449382,0.14920622486172355,0.6892071236467177,FALSE,WT_vs_severe
RNF170,0.028557933090011624,0.7623527823026466,0.9531094636039896,FALSE,WT_vs_severe
UBIAD1,-0.037510589598737314,0.6090352684416802,0.9160181385220926,FALSE,WT_vs_severe
TARDBP,0.036301951724577855,0.4228076720463383,0.85868731455981,FALSE,WT_vs_severe
TNFRSF8,-0.01727785516219587,0.8495409121689785,0.9702280854484586,FALSE,WT_vs_severe
ZNF706,-0.0074639631977832105,0.8839184330077388,0.9765155233570021,FALSE,WT_vs_severe
LYPLA1,0.03665480817038303,0.46588602805062795,0.8701212592775517,FALSE,WT_vs_severe
COPS5,0.04811690098119935,0.22642580087296801,0.7541831820231876,FALSE,WT_vs_severe
RDH10,0.04164736638621535,0.7524357974284515,0.9501984901211036,FALSE,WT_vs_severe
AKAP1,-0.009779733066113695,0.8456704729794832,0.9698519122790219,FALSE,WT_vs_severe
COIL,0.006454323513927566,0.9092751998556253,0.982150988667172,FALSE,WT_vs_severe
TRIM25,-0.06528534504103685,0.22604390797608254,0.7536267341750685,FALSE,WT_vs_severe
SCPEP1,0.07543371104857431,0.15179779218809744,0.6911127359369017,FALSE,WT_vs_severe
SPOP,-0.03520188898741378,0.42492003725753735,0.85868731455981,FALSE,WT_vs_severe
TBX2,0.012091522950675115,0.8606903358608959,0.9725813889158147,FALSE,WT_vs_severe
SLC35B1,0.03150064720866176,0.7598519711249541,0.9529534707038756,FALSE,WT_vs_severe
TEX14,-0.07271496556820833,0.5105771300962854,0.8829272104150788,FALSE,WT_vs_severe
FAM117A,-0.071398726309519,0.2540852766312489,0.7768802742056395,FALSE,WT_vs_severe
NCAPH,0.022750158034899295,0.7410775725026875,0.9482959435100047,FALSE,WT_vs_severe
TMEM131L,-0.12150450079015573,0.06826805664924111,0.5689321877827697,FALSE,WT_vs_severe
MND1,0.023293149515619234,0.7867091903244702,0.9593473060014778,FALSE,WT_vs_severe
TRIM6,-0.037844190088180706,0.6788402857475946,0.9373242652905758,FALSE,WT_vs_severe
TENT4B,0.08596877887608022,0.262677092475366,0.7843165509040494,FALSE,WT_vs_severe
ADCY7,-0.1092287784172379,0.301824499509085,0.8037333390888427,FALSE,WT_vs_severe
CEP89,-0.034583823076941717,0.6130308393204166,0.9169732438829741,FALSE,WT_vs_severe
TSHZ3,0.07606839252934262,0.363090885735992,0.8379726507614491,FALSE,WT_vs_severe
PYROXD1,-0.03444566356854066,0.7384124654085473,0.947192392343754,FALSE,WT_vs_severe
KCNJ8,-0.016451382824214135,0.9032068294685649,0.9807909265063622,FALSE,WT_vs_severe
PSPC1,0.03346650488794315,0.4225347560425172,0.85868731455981,FALSE,WT_vs_severe
ZNF549,-0.061576074830461874,0.28607878223718425,0.7950743206525391,FALSE,WT_vs_severe
A1BG,0.10780316745239418,0.2525720541557198,0.7765561378139414,FALSE,WT_vs_severe
ZNF211,0.05878293229985386,0.4835022905012907,0.875159216651823,FALSE,WT_vs_severe
PDZRN3,-0.09269667979445033,0.5052987626676622,0.881655661328067,FALSE,WT_vs_severe
LHX4,-0.18671554825439077,0.06320675911094158,0.561402881186905,FALSE,WT_vs_severe
RNF2,0.008637941532236442,0.8698405443169689,0.9746312095830879,FALSE,WT_vs_severe
TRMT1L,-0.043437752665841274,0.7049924144694288,0.9397913503350612,FALSE,WT_vs_severe
SEC22A,0.08338395994751097,0.13081351417478312,0.6683364646995914,FALSE,WT_vs_severe
B4GALT4,0.06995296856315812,0.2757715359553072,0.7904756331280159,FALSE,WT_vs_severe
NAA50,-0.029059963239427215,0.4895199343364013,0.8767439443924979,FALSE,WT_vs_severe
KIF18A,-0.1265130819110295,0.16863605474654692,0.7045320058803076,FALSE,WT_vs_severe
